                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.1622,                  1.607,                 1.5438,                   0.27,                0.19458,                0.12893,                 0.0518,                 2.1973,                 2.7844,                 1.8657,               0.000548,               0.000548,               0.000548
                     68,                 1.1545,                 1.5895,                 1.5281,                0.26478,                0.23193,                0.16276,                0.06445,                 2.1598,                  2.555,                 1.8255,               0.000526,               0.000526,               0.000526
                     69,                 1.1238,                  1.559,                  1.526,                0.24905,                0.17981,                0.12405,                0.05164,                 2.1958,                  2.788,                 1.8545,               0.000504,               0.000504,               0.000504
                     70,                 1.1695,                 1.6347,                 1.5354,                0.27952,                0.20602,                0.15443,                0.06542,                 2.1468,                  2.652,                 1.8135,               0.000482,               0.000482,               0.000482
                     71,                 1.1074,                 1.5229,                 1.4883,                 0.2818,                 0.2006,                0.14277,                0.05794,                 2.1791,                 2.7972,                 1.8398,                0.00046,                0.00046,                0.00046
                     72,                  1.137,                 1.5698,                 1.5158,                0.28389,                0.20301,                0.16283,                0.06752,                  2.163,                  2.668,                  1.829,               0.000438,               0.000438,               0.000438
                     73,                 1.1669,                 1.5806,                 1.5376,                0.27614,                0.20602,                0.14918,                0.06038,                 2.1663,                 2.7235,                 1.8407,               0.000416,               0.000416,               0.000416
                     74,                 1.1005,                 1.5327,                 1.4802,                0.23194,                0.18373,                0.12136,                0.04885,                 2.1977,                 2.8273,                 1.8784,               0.000394,               0.000394,               0.000394
                     75,                 1.1104,                 1.5349,                 1.4917,                0.29587,                0.19157,                0.15246,                 0.0643,                 2.1516,                 2.7415,                 1.8254,               0.000372,               0.000372,               0.000372
                     76,                 1.1079,                 1.5099,                 1.5037,                0.27662,                0.20824,                 0.1481,                  0.063,                  2.148,                 2.6921,                 1.8292,                0.00035,                0.00035,                0.00035
                     77,                 1.0921,                 1.5186,                 1.4974,                 0.2823,                0.21728,                0.16057,                0.06799,                 2.1263,                 2.7125,                 1.7991,               0.000328,               0.000328,               0.000328
                     78,                  1.118,                 1.5477,                 1.4923,                0.26472,                 0.1994,                0.15248,                0.06314,                 2.1444,                 2.7154,                 1.8095,               0.000306,               0.000306,               0.000306
                     79,                   1.08,                  1.433,                 1.4587,                0.26086,                0.18855,                0.13211,                0.05351,                 2.1765,                 2.8803,                 1.8502,               0.000284,               0.000284,               0.000284
                     80,                 1.1339,                 1.5058,                 1.5188,                0.28356,                0.22289,                0.16542,                0.07014,                 2.1345,                 2.6748,                  1.826,               0.000262,               0.000262,               0.000262
